Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2024.5 E K100 70.3 30.8    16d 39m    79d 13m    9815.2   9403.6   2812.4  51572.3  52498.0    15.8       1.8        -17.5    -29.7     38.1     57.4     53.1
2023 E K100 70.3 30.8    16d 15m    79d 11m    9841.7   9448.1   2755.3  51486.2  52418.4    15.7       1.9        -17.8    -29.7     38.1     57.4     53.0
2022.5 M K470 70.3 30.8    13d 11m    79d  7m    8491.7   8268.0   1936.2  44142.9  44952.3    15.2       2.0        -17.3    -25.4     32.5     45.7     41.7
2021.5 E M1042 70.3 30.8    16d 46m    79d  8m   10280.9   9844.2   2964.6  53595.3  54572.5    15.7       1.8        -18.0    -30.8     39.8     61.1     56.6
2020.5 E F30000 70.3 30.8    16d 25m    79d  7m   10264.4   9845.6   2902.1  53350.7  54329.1    15.7       1.9        -18.3    -30.7     39.7     60.8     56.2
2023.7 E F30000 -70.3 -30.8     0d -56m   -60d 16m   18755.2  18752.7   -303.9 -32841.3  37819.4    -1.8       0.8        -27.4    -27.5     -9.4     66.1    -71.0
2023.7 E F30000 -70 -30    -1d 29m   -60d  9m   18680.8  18674.5   -482.4 -32543.5  37524.0    -1.7       0.8        -27.4    -27.6     -8.6     65.5    -70.5
2023.7 E F30000 43 -30    -9d 18m    58d 27m   23943.0  23628.7  -3866.6  38997.3  45760.8    11.5      -4.1         42.3     54.7     72.1    -34.2     -7.0
2023 E F30000 43 -54   -16d  8m    62d 49m   22188.5  21314.2  -6167.3  43194.8  48560.5     9.7      -6.3         54.4     69.7     44.9    -88.8    -54.1
2023 E K1.3 48.123 16.123     4d 59m    64d 39m   20953.4  20874.0   1821.5  44243.4  48954.3     9.0       1.7          3.1     -1.7     55.1     63.4     58.6
2024 E K1.3 48.123 16.123     5d  8m    64d 41m   20956.5  20872.3   1876.6  44306.8  49013.0     9.0       1.7          3.2     -1.7     55.1     63.4     58.7
2024.8849 E K1.3 48.123 16.123     5d 16m    64d 43m   20959.4  20870.8   1925.3  44363.0  49064.9     9.0       1.7          3.3     -1.7     55.1     63.4     58.8
